                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5166001.E-02 88831307.E-04 10807840.E-03 14202137.E-03 64206246.E-04 
5227501.E-02 83466796.E-04 10394407.E-03 13110887.E-03 64569560.E-04 
5289001.E-02 79389404.E-04 96284661.E-04 12101133.E-03 57918841.E-04 
5350501.E-02 67738425.E-04 82976311.E-04 10646933.E-03 51831486.E-04 
5412001.E-02 61448376.E-04 76185498.E-04 95594571.E-04 48299230.E-04 
5473501.E-02 54364260.E-04 67809957.E-04 85270596.E-04 43981970.E-04 
5535001.E-02 49537846.E-04 62190714.E-04 78308856.E-04 40831118.E-04 
5596501.E-02 45359096.E-04 56977149.E-04 71037919.E-04 37121171.E-04 
5658001.E-02 41358853.E-04 51689359.E-04 64978099.E-04 34350553.E-04 
5719501.E-02 38167383.E-04 48311811.E-04 60944252.E-04 32822500.E-04 
5781001.E-02 36429895.E-04 45852133.E-04 57470431.E-04 30697936.E-04 
5842501.E-02 34917340.E-04 43830481.E-04 54424817.E-04 29226365.E-04 
5904001.E-02 33028097.E-04 41542012.E-04 52163305.E-04 27470950.E-04 
5965501.E-02 31961674.E-04 39865736.E-04 49925568.E-04 26281305.E-04 
6027001.E-02 28808602.E-04 36979213.E-04 47318599.E-04 26436936.E-04 
6088501.E-02 28763606.E-04 35558127.E-04 43021281.E-04 23026149.E-04 
6150001.E-02 26878984.E-04 33245256.E-04 40622811.E-04 21543291.E-04 
