% Model:              permanent_magnet.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 27 2025, 16:26
% Dimension:          1
% Nodes:              225
% Expressions:        1
% Description:        Line graph
% x-coordinate (mm)       Magnetic flux density, y component
-1.6649702796535486       0.32342935911755094
-1.6012950760609652       0.3283651366513097
-1.5667055078778014       0.3310463438388589
-1.5032601268059782       0.335964306701109
-1.4683916322586361       0.33771569247702776
-1.4048185172612513       0.34104584779066194
-1.3696273140804296       0.3428892712609514
-1.3061981421022681       0.3459596286177085
-1.2708595981827044       0.34735233481147276
-1.2073994414532403       0.3496386879734159
-1.171870806126859        0.35091871960120197
-1.1084941309887744       0.3532020650743804
-1.0728935654630702       0.35396323671521734
-1.0095004467945405       0.3555493981419216
-0.9737985053607898       0.3564426976600719
-0.9104444963766463       0.3580278805219987
-0.8747159759981358       0.3585404888077288
-0.8113424694072514       0.3596363666029246
-0.7755747593961885       0.36025487489282126
-0.7122088961951023       0.3613506205157332
-0.6764368944134442       0.3616919555135054
-0.613049998733792        0.36242680260362986
-0.5772686070690181       0.36284161786257946
-0.5138779935398123       0.3635765080538919
-0.47809537495703114      0.363862929251307
-0.4146917502838819       0.3642461796944068
-0.3789037406540484       0.36450167028922364
-0.3154992292115112       0.3649543150859127
-0.27970584891273165      0.3650749088894085
-0.2162942593101746       0.3652907928358044
-0.18049694846286687      0.3654126643230865
-0.11708492569276889      0.36562854974419434
-0.08128521960459531      0.3656673125631163
-0.0178668055343641       0.3656673240241039
0.017931847213474406      0.3656673304936441
0.08135401670907125       0.3656673419553185
0.11714655125907684       0.36562884432026627
0.18056825229122858       0.3654129389213509
0.2163615073336239        0.3652910885628351
0.2797856641895977        0.36507517480360496
0.31556815397459304       0.36495489749936494
0.3789889851227796        0.36450211755259126
0.414779169852773         0.364246600908554
0.47819470137905673       0.36386328367553045
0.5139849778253497        0.36357706701490833
0.5773965889364256        0.36284179042238435
0.6132103180989806        0.36242651952352656
0.6766034406426955        0.36169145731146624
0.7124443972507744        0.36134963185432234
0.7758274248809905        0.3602530237794454
0.8117040970766574        0.35963231110760857
0.8750620729977219        0.3585361364595915
0.9109688166224787        0.35802072943361674
0.9743323339979002        0.35643345570209267
1.010287845431209         0.3555327601415396
1.0735914383343232        0.3539469875347154
1.1096433959462761        0.35317388332266686
1.1728685381948105        0.3508907689061465
1.2090149908603647        0.3495854893250778
1.2721189446906955        0.3473067511268508
1.3084271469913376        0.34586629889350656
1.3713791256482262        0.3428139754050474
1.407723197565571         0.34090167159168383
1.4705759356888823        0.3375945702006523
1.5070518868610296        0.3357438143460672
1.5695145188679314        0.3308635126897337
1.6060528932832618        0.32800871321284264
1.6683033648640082        0.3231449879774235
1.7050159567535834        0.3201074251495935
1.7664594745820894        0.31285117126371476
1.8032186101027987        0.3085100523077904
1.864361422430229         0.30128931063764613
1.9012503536020635        0.2961016020408058
1.9608531756584646        0.28550461061146765
1.9978796425928627        0.2789215472727615
2.05703641575768          0.2684038604152159
2.094242722718421         0.2595897481958259
2.1512393232106257        0.2452908709140428
2.188872092468954         0.23584984557653843
2.2454083344413434        0.2201725208441806
2.283031474211598         0.20868772002258565
2.336023270192362         0.1927764100759468
2.374457929373102         0.1812360241803584
2.4264520460839654        0.16562427728488818
2.465651111645757         0.15143070323646843
2.513398554697215         0.13782011607659223
2.5544010743011794        0.12613219456333033
2.5997075016640494        0.11321742805195283
2.6435899189453935        0.10163362552313139
2.6842137360268086        0.09166689314300994
2.727246847914965         0.08192639700242202
2.7670615961832774        0.07269281152838997
2.8141318757415243        0.06356475092619593
2.848737612825383         0.05779634418038141
2.898636309813106         0.049478764363668735
2.9267525216643397        0.04479209215910489
2.9890486772906075        0.03583980071885161
3.0062942048266414        0.03379484392686869
3.0692044133300933        0.02633501656608989
3.091426480698515         0.023699946835570904
3.0954957861970156        0.023449415502638103
3.16144111528407          0.01666074471244841
3.167954096398841         0.016114566811511993
3.182734507789503         0.014834264434216524
3.237239286075676         0.0101129751974374
3.279384231760909         0.006462314013138364
3.3007076321226267        0.005333280766175333
3.325197509137177         0.003026662043516296
3.373759939092294         1.637215061903312E-6
3.4415144399577904        -0.004218889796195579
3.4469572171179528        -0.004557928350494119
3.4515517744234026        -0.004804444899322941
3.5209147466286357        -0.008511795583922796
3.5901985098650147        -0.012214912663536179
3.5948578296756777        -0.011953299979140927
3.5998418658105753        -0.012645409872006482
3.6699481213305316        -0.015411538168188434
3.742077601223495         -0.01825749526347574
3.745002026645485         -0.018373410463320854
3.7479596935131156        -0.018474873250452044
3.8205052594991984        -0.02096354951056812
3.890280074330177         -0.02335717512866931
3.896006632696912         -0.023244123952469935
3.9020833616350052        -0.023715749438065186
3.971924332657431         -0.025512122419417083
4.036909864434478         -0.02718360910916433
4.047829374440488         -0.027464880434255802
4.0587099752982905        -0.02771096686501361
4.124321654926346         -0.029194905506518515
4.1965150502593955        -0.03082770274023791
4.200836198067407         -0.030732821450533236
4.204257759907428         -0.030979248594952418
4.276577986113001         -0.032244130000656776
4.346646160558288         -0.033469623000850636
4.352379228075249         -0.033569894403198006
4.358804658563776         -0.03366962795974506
4.4282419648442355        -0.034747356741406756
4.491161392273513         -0.03561833964729218
4.504140828131152         -0.0357727062784863
4.517798320069297         -0.03591456190367946
4.580424508351778         -0.03677497462516368
4.638735496052954         -0.03748440893295781
4.656668647487033         -0.03770263397042915
4.675563633318002         -0.03790486142038223
4.733463144367366         -0.038524542778060875
4.762499999999999         -0.038835315663619724
